Date (GMT-7:00),CPM,ACPM,uSv/h,Latitude,Longitude
2023-09-16 03:36:45,18,13.33,0.12,38.864147,-77.7026515
2023-09-16 03:31:43,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 03:26:41,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 03:21:39,18,13.33,0.12,38.864147,-77.7026515
2023-09-16 03:16:39,10,13.33,0.06,38.864147,-77.7026515
2023-09-16 03:11:35,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 03:06:33,7,13.33,0.05,38.864147,-77.7026515
2023-09-16 03:01:32,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 02:56:29,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 02:51:27,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 02:46:25,16,13.33,0.1,38.864147,-77.7026515
2023-09-16 02:41:23,10,13.33,0.06,38.864147,-77.7026515
2023-09-16 02:36:21,10,13.33,0.06,38.864147,-77.7026515
2023-09-16 02:31:19,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 02:26:17,7,13.33,0.05,38.864147,-77.7026515
2023-09-16 02:21:15,17,13.33,0.11,38.864147,-77.7026515
2023-09-16 02:16:15,15,13.33,0.1,38.864147,-77.7026515
2023-09-16 02:11:11,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 02:06:09,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 02:01:07,19,13.33,0.12,38.864147,-77.7026515
2023-09-16 01:56:05,9,13.33,0.06,38.864147,-77.7026515
2023-09-16 01:51:05,15,13.33,0.1,38.864147,-77.7026515
2023-09-16 01:46:01,10,13.33,0.06,38.864147,-77.7026515
2023-09-16 01:40:59,22,13.33,0.14,38.864147,-77.7026515
2023-09-16 01:35:57,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 01:30:55,17,13.33,0.11,38.864147,-77.7026515
2023-09-16 01:25:53,8,13.33,0.05,38.864147,-77.7026515
2023-09-16 01:20:51,8,13.33,0.05,38.864147,-77.7026515
2023-09-16 01:15:49,10,13.33,0.06,38.864147,-77.7026515
2023-09-16 01:10:47,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 01:05:45,17,13.33,0.11,38.864147,-77.7026515
2023-09-16 01:00:43,15,13.33,0.1,38.864147,-77.7026515
2023-09-16 00:55:41,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 00:50:39,16,13.33,0.1,38.864147,-77.7026515
2023-09-16 00:45:37,10,13.33,0.06,38.864147,-77.7026515
2023-09-16 00:40:35,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 00:35:33,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 00:30:31,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 00:25:29,18,13.33,0.12,38.864147,-77.7026515
2023-09-16 00:20:27,10,13.33,0.06,38.864147,-77.7026515
2023-09-16 00:15:25,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 00:10:23,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 00:05:21,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 00:00:19,9,13.33,0.06,38.864147,-77.7026515
2023-09-15 23:55:17,19,13.33,0.12,38.864147,-77.7026515
2023-09-15 23:50:15,15,13.33,0.1,38.864147,-77.7026515
2023-09-15 23:45:13,11,13.33,0.07,38.864147,-77.7026515
2023-09-15 23:40:11,11,13.33,0.07,38.864147,-77.7026515
2023-09-15 23:35:09,18,13.33,0.12,38.864147,-77.7026515
2023-09-15 23:30:07,18,13.33,0.12,38.864147,-77.7026515
2023-09-15 23:25:05,16,13.33,0.1,38.864147,-77.7026515
2023-09-15 23:20:04,10,13.33,0.06,38.864147,-77.7026515
2023-09-15 23:15:01,6,13.33,0.04,38.864147,-77.7026515
2023-09-15 23:09:59,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 23:04:57,10,13.33,0.06,38.864147,-77.7026515
2023-09-15 22:59:55,14,13.33,0.09,38.864147,-77.7026515
2023-09-15 22:54:53,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 22:49:51,19,13.33,0.12,38.864147,-77.7026515
