Pos,Breeder,Pigeon,Arrival,Speed
153,Lonestar Loft,0748-AU15-DEN,59:59.0,146.687
154,Family Loft,0154-AU15-FAM,00:04.0,146.585
155,Ganus Family Loft,0775-AU15-GFL,00:08.0,146.504
156,Milner-Mckinsey,2499-AU15-VITA,00:29.0,146.078
157,Shang N Dennis Yoh,0928-AU15-JEDD,00:32.0,146.018
158,Greek Connection,0675-AU15-GRK,01:11.0,145.234
159,Lonestar Loft,0737-AU15-DEN,01:38.0,144.697
160,Crestview Loft,25357-AU15-ARPU,01:52.0,144.42
161,Stenman Loft,5271-AU15-VITA,01:53.0,144.4
162,Credeur Family Loft,0114-AU15-CFL,02:08.0,144.105
163,Debbie Ganus,0715-AU15-GFL,02:20.0,143.869
164,Rayce Loft,5035-AU15-UIF,02:24.0,143.791
165,Redtex,0010-AU15-RTEX,02:27.0,143.732
166,Family Loft,0062-AU15-FAM,03:03.0,143.031
167,Fisher Family Loft,55344-AU15-ARPU,04:29.0,141.384
168,The Bailey Team,1552-AU15-GJC,04:46.0,141.063
169,Junior Juanich,0411-AU15-JRL,05:03.0,140.744
169,P J Loft,0010-IF15-PJLO,05:03.0,140.744
171,Junior Juanich,0410-AU15-JRL,05:22.0,140.388
172,King City,0087-AU15-AIRC,05:55.0,139.775
173,Mc Laughlin Lofts,2144-AU15-MCLO,06:04.0,139.609
174,Jb & D,1209-IF15-CCC,06:08.0,139.535
175,Dave Dudley,15065-AU15-PBLO,06:09.0,139.516
176,Andy Skwiat,0049-AU15-ANDY,06:18.0,139.351
177,Skip's Janssens,5301-AU15-GL,06:24.0,139.241
178,Centmeyer Loft,1639-AU15-ARNL,06:37.0,139.002
179,Loizzi/Sikora,1742-AU15-FVC,07:19.0,138.238
180,Emerson/Krass,1557-AU15-EMER,07:25.0,138.129
181,Sandstrom Brothers Loft,0303-AU15-SBL,07:31.0,138.021
182,Redtex,0007-AU15-RTEX,07:39.0,137.877
183,Hi-Cal Connection,0701-AU15-HAWA,07:54.0,137.608
183,N C Syndicate,19658-AU15-FOYS,07:54.0,137.608
185,J & M Partridge Loft,1057-AU15-PASO,07:55.0,137.59
186,Fisher Family Loft,55363-AU15-ARPU,07:58.0,137.536
187,Stenman Loft,5270-AU15-VITA,08:13.0,137.268
188,The Bailey Team,1555-AU15-GJC,08:22.0,137.107
189,Baldwin & Tilson,0977-AU15-TENT,08:32.0,136.929
190,A P C Loft,15060-AU15-APC,08:49.0,136.628
191,Stelling Loft,0055-AU15-JHS,08:51.0,136.593
192,Bynum Family Lofts,27690-AU15-ARPU,09:22.0,136.047
193,Tongol 11,1974-AU15-TONG,09:40.0,135.733
194,Captain Chuck,1671-AU15-CAPT,09:44.0,135.663
195,Andy Skwiat,0060-AU15-ANDY,09:59.0,135.402
196,Milner-Mckinsey,2484-AU15-VITA,10:26.0,134.935
197,Loizzi/Sikora,1738-AU15-FVC,10:48.0,134.557
198,The Brand Syndicate,0532-AU15-RRR,11:06.0,134.249
199,Rick Barker,0302-AU15-VIP,12:20.0,132.997
200,Dunn Loft,1109-AU15-TXHC,13:35.0,131.753
201,Milner-Mckinsey,2489-AU15-VITA,13:46.0,131.572
202,T C R Loft,3354-AU15-AA,14:12.0,131.148
203,American Lofts,3584-AU15-CORP,14:14.0,131.115
204,The Brand Syndicate,0566-AU15-RRR,14:15.0,131.099
205,Kwan Loft,0414-AU15-KWAN,14:35.0,130.774
206,Texas Outlaws,19657-AU15-FOYS,14:48.0,130.564
207,A P C Loft,15077-AU15-APC,14:57.0,130.419
208,Stenman Loft,5276-AU15-VITA,15:33.0,129.841
209,Kiko Arana,57095-AU15-ARPU,15:47.0,129.618
210,Dave Harrett,0019-AU15-JEDD,15:49.0,129.586
211,Kwan Loft,0411-AU15-KWAN,15:59.0,129.428
212,Bynum Family Lofts,27682-AU15-ARPU,16:05.0,129.333
213,Ganus Family Loft,0712-AU15-GFL,16:31.0,128.922
214,Andy Skwiat,0035-AU15-ANDY,17:03.0,128.42
215,Centmeyer Loft,1663-AU15-ARNL,19:04.0,126.558
216,Dal-Tex R P C,0030-AU15-DRPC,19:10.0,126.467
217,The Brand Syndicate,0531-AU15-RRR,20:11.0,125.55
218,Debbie Ganus,0741-AU15-GFL,20:44.0,125.059
219,7-11 Syndicate,1971-AU15-SD,22:38.0,123.393
220,Drama Queen Loft,1234-AU15-GCI,23:57.0,122.265
221,Family Loft,0056-AU15-FAM,24:04.0,122.166
222,Equalizer Loft,0935-AU15-LAF,24:14.0,122.024
223,Mc Laughlin Lofts,2117-AU15-MCLO,24:20.0,121.94
224,Hutchins/Milner,0076-AU15-HUTC,24:39.0,121.673
225,Jb & D,1235-IF15-CCC,25:08.0,121.268
226,Andy Skwiat,0784-AU15-GFL,25:11.0,121.226
227,B D P Loft,0416-AU15-BDPL,25:28.0,120.99
227,Family Loft,0147-AU15-FAM,25:28.0,120.99
229,Tongol 11,1978-AU15-TONG,25:59.0,120.562
230,Andy Skwiat,0056-AU15-ANDY,26:11.0,120.397
231,A P C Loft,15079-AU15-APC,26:42.0,119.973
232,Hi-Cal Connection,0792-AU15-HAWA,26:49.0,119.877
233,Family Loft,0152-AU15-FAM,26:55.0,119.796
234,Alias-Alias,2043-AU15-ALIA,26:56.0,119.782
235,Shang N Dennis Yoh,0901-AU15-JEDD,27:06.0,119.646
236,Rick Barker,0305-AU15-VIP,27:11.0,119.579
237,B D P Loft,0417-AU15-BDPL,27:15.0,119.525
238,Flying D Loft 2,9518-AU15-FOYS,27:21.0,119.444
239,Debbie Ganus,0762-AU15-GFL,28:55.0,118.187
240,Nanez Family Lofts,2067-AU15-NANE,30:40.0,116.814
241,Little Reata Loft,15467-AU15-JETT,31:03.0,116.518
242,Milner-Mckinsey,2487-AU15-VITA,31:18.0,116.325
243,Stenman Loft,5269-AU15-VITA,31:57.0,115.828
244,Equalizer Loft,0435-AU15-LAF,32:08.0,115.688
245,King City,0081-AU15-AIRC,32:19.0,115.549
246,Miller Loft 2,0013-AU15-RBPC,32:36.0,115.334
247,Crestview Loft,25372-AU15-ARPU,32:48.0,115.183
248,A P C Loft,15058-AU15-APC,33:11.0,114.895
249,Alonso Loft,0313-AU15-ALON,33:20.0,114.783
250,T C R Loft,3362-AU15-AA,33:33.0,114.621
251,Nanez Family Lofts,2064-AU15-NANE,33:35.0,114.596
